County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Date,,,,,,,,,
Alameda,4,72,1625,2488,398,37,4624,9/1/2023,big,1500,,,,,,,
Alpine,0,0,10,0,0,0,10,9/1/2023,small',,,,,,Alameda,4,72
Amador,0,0,26,0,8,0,34,9/1/2023,small',,,,,,Alpine,0,0
Butte,6,0,63,55,25,0,149,9/1/2023,small',find all total chargers for alameda,,,,,Amador,0,0
Calaveras,0,2,9,0,12,0,23,9/1/2023,small',Alameda,total cars,51881,,sumifs,Butte,6,0
Colusa,0,0,16,2,18,0,36,9/1/2023,small',Alpine,,175,,,Calaveras,0,2
Contra Costa,0,2,689,758,279,6,1734,9/1/2023,big,Amador,,459,,,Colusa,0,0
Del Norte,0,0,16,1,28,2,47,9/1/2023,small',Butte,,1456,,,Contra Costa,0,2
El Dorado,1,0,155,4,53,1,214,9/1/2023,small',Calaveras,,237,,,Del Norte,0,0
Fresno,23,1,483,506,285,15,1313,9/1/2023,small',Colusa,,426,,,El Dorado,1,0
Glenn,0,0,4,0,10,0,14,9/1/2023,small',Contra Costa,,19418,,,Fresno,23,1
Humboldt,0,0,111,10,36,0,157,9/1/2023,small',Del Norte,,434,,,Glenn,0,0
Imperial,0,0,13,12,24,1,50,9/1/2023,small',El Dorado,,2352,,,Humboldt,0,0
Inyo,0,0,4,5,44,1,54,9/1/2023,small',Fresno,,14646,,,Imperial,0,0
Kern,5,1,221,260,306,4,797,9/1/2023,small',,,,,,Inyo,0,0
Kings,0,0,60,247,112,0,419,9/1/2023,small',,,,,,Kern,5,1
Lake,0,0,17,0,0,0,17,9/1/2023,small',,,,,,Kings,0,0
Lassen,0,1,7,0,8,0,16,9/1/2023,small',,,,,,Lake,0,0
Los Angeles,33,120,8213,18893,1906,268,29433,9/1/2023,big,,if county is,Contra Costa,,,Lassen,0,1
Madera,0,1,72,40,79,10,202,9/1/2023,small',,show total,1734,,,Los Angeles,33,120
Marin,0,0,476,509,97,0,1082,9/1/2023,small',,,,,,Madera,0,1
Mariposa,0,0,27,0,32,0,59,9/1/2023,,,6,,,,Marin,0,0
Mendocino,0,0,135,20,59,0,214,9/1/2023,,,,,,,,,
Merced,10,2,51,31,58,3,155,9/1/2023,,,xlookup,,,,,,
